Property Class Name,Period,Slice,As Of,Geography Name,Inventory SF,Market Asking Rent/SF,Net Absorption SF 12 Mo,Net Delivered SF 12 Mo,Vacancy Rate,Existing Buildings
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North I-25,20432201,13.98,352697,95119,2.64646969735622%,1056
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Outlying (Cluster),7902,16.72,-10,,0.126550241839141%,4
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Outlying,7902,16.72,-10,,0.126550241839141%,4
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Valley,3930471,11.54,45761,22673,1.64209324866533%,303
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Northeast Heights (Cluster),590577,12.12,9103,-41,0.489351944997907%,57
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Northeast Heights,590577,12.12,9103,-41,0.489351944997907%,57
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Rio Rancho (Cluster),3936488,11.65,-173301,-413,6.16917908191681%,111
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Rio Rancho,3936488,11.65,-173301,-413,6.16917908191681%,111
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - SE Outlying (Cluster),637497,11.69,-90215,-68,14.8937165737152%,15
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - SE Outlying,637497,11.69,-90215,-68,14.8937165737152%,15
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - South Valley (Cluster),5054666,10.29,90415,-722,4.90230210125446%,301
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - South Valley,5054666,10.29,90415,-722,4.90230210125446%,301
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Southeast Heights (Cluster),2385322,11.14,23513,2635,2.13065575808287%,280
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Southeast Heights,2385322,11.14,23513,2635,2.13065575808287%,280
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Torrance County (Cluster),397005,10.65,-15620,-32,3.92715446650982%,38
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Torrance County,397005,10.65,-15620,-32,3.92715446650982%,38
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - University (Cluster),399402,11.51,1646,-33,0.140459986869246%,30
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - University,399402,11.51,1646,-33,0.140459986869246%,30
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - West Mesa (Cluster),8240958,11.11,-39579,126687,2.74597927927971%,103
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - West Mesa,8240958,11.11,-39579,126687,2.74597927927971%,103
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Abbott/DeArmoun-30 (Cluster),120742,20.07,-567,-6,0.464627053588629%,12
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Abbott/DeArmoun-30,120742,20.07,-567,-6,0.464627053588629%,12
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Boniface/Muldoon-45 (Cluster),65110,19.63,-315,-2,0.480724917724729%,8
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Boniface/Muldoon-45,65110,19.63,-315,-2,0.480724917724729%,8
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Dimond South-20 (Cluster),2589209,19.69,-11331,-217,0.622352212667465%,109
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Dimond South-20,2589209,19.69,-11331,-217,0.622352212667465%,109
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Downtown-5 (Cluster),1363767,17.7,-20841,-102,2.44462583214045%,61
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Downtown-5,1363767,17.7,-20841,-102,2.44462583214045%,61
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - E Tudor/Abbott-35 (Cluster),1663856,21.66,2702,-97,0.606542872264981%,134
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - E Tudor/Abbott-35,1663856,21.66,2702,-97,0.606542872264981%,134
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Ft Rich/Birchwood-90 (Cluster),179638,20.44,-871,-7,0.480967294424772%,22
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Ft Rich/Birchwood-90,179638,20.44,-871,-7,0.480967294424772%,22
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Mat-Su Business Region (Cluster),1272622,17.6,-27883,-64,2.96317357569933%,118
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Mat-Su Business Region,1272622,17.6,-27883,-64,2.96317357569933%,118
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Post Rd/Glenn (Cluster),1707404,19.87,1745,-116,0.485473871231079%,103
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Post Rd/Glenn,1707404,19.87,1745,-116,0.485473871231079%,103
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - S Birchwood/Eklutna-100 (Cluster),104783,19.48,-515,-6,0.485765840858221%,9
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - S Birchwood/Eklutna-100,104783,19.48,-515,-6,0.485765840858221%,9
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Seward Hwy/Boniface-40 (Cluster),362903,19.42,-1805,-28,0.489662541076541%,20
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Seward Hwy/Boniface-40,362903,19.42,-1805,-28,0.489662541076541%,20
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Spenard-10 (Cluster),2373321,19.95,-12082,-257,1.87951810657978%,81
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - Spenard-10,2373321,19.95,-12082,-257,1.87951810657978%,81
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - W Tudor/Dimond-15 (Cluster),7239463,20.15,-11491,-519,0.797061901539564%,364
Industrial,2025 Q3,All,2025 Q2,Anchorage - AK USA - W Tudor/Dimond-15,7239463,20.15,-11491,-519,0.797061901539564%,364
Industrial,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Washtenaw  (Cluster),34050576,10.66,-425134,10591,5.54771833121777%,889
Industrial,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Washtenaw E of 23,11430557,8.47,-259412,18405,3.51667888462543%,246
Industrial,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Washtenaw W of 23,22620019,11.76,-165722,-7814,6.57406151294708%,643
Industrial,2025 Q3,All,2025 Q2,Appleton - WI USA - Calumet County  (Cluster),4345647,6.75,191599,10468,9.82244983315468%,77
Industrial,2025 Q3,All,2025 Q2,Appleton - WI USA - Calumet County,4345647,6.75,191599,10468,9.82244983315468%,77
Industrial,2025 Q3,All,2025 Q2,Appleton - WI USA - Outagamie County  (Cluster),32467205,6.97,270377,130984,2.51324381679296%,844
Industrial,2025 Q3,All,2025 Q2,Appleton - WI USA - Outagamie County,32467205,6.97,270377,130984,2.51324381679296%,844
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Buncombe County (Cluster),11571079,10.12,305241,2503,1.16221662610769%,247
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Buncombe County,11571079,10.12,305241,2503,1.16221662610769%,247
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Central Asheville (Cluster),3934969,11.65,-65537,-41863,1.43757164478302%,187
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Central Asheville,3934969,11.65,-65537,-41863,1.43757164478302%,187
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Downtown Asheville (Cluster),20445,14.24,-69,-3,0.322817312553525%,4
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Downtown Asheville,20445,14.24,-69,-3,0.322817312553525%,4
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - East Asheville (Cluster),464539,11.79,12815,-96,2.27688103914261%,23
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - East Asheville,464539,11.79,12815,-96,2.27688103914261%,23
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Haywood County (Cluster),1755415,9.81,-84757,-377,5.74946664273739%,87
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Haywood County,1755415,9.81,-84757,-377,5.74946664273739%,87
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Henderson County (Cluster),11830366,8.97,440348,54191,4.68842647969723%,290
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Henderson County,11830366,8.97,440348,54191,4.68842647969723%,290
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Madison County (Cluster),256477,9.02,-892,-54,0.326734944246709%,11
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - Madison County,256477,9.02,-892,-54,0.326734944246709%,11
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - North Asheville (Cluster),301185,14.23,6297,-59,0.330029707401991%,19
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - North Asheville,301185,14.23,6297,-59,0.330029707401991%,19
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - S Asheville/Royal Pines (Cluster),5943380,10.81,82894,-1348,1.01449005305767%,161
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - S Asheville/Royal Pines,5943380,10.81,82894,-1348,1.01449005305767%,161
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - West Asheville (Cluster),2919086,10.72,5652,135277,5.31724654138088%,86
Industrial,2025 Q3,All,2025 Q2,Asheville - NC USA - West Asheville,2919086,10.72,5652,135277,5.31724654138088%,86
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Airport/North Clayton,136247840,8.86,-4157633,1638252,13.2301732897758%,1650
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Butts County,8256756,7.37,726265,818327,30.0730466842651%,47
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Central Atlanta  (Cluster),13892593,13.95,-169694,-106235,9.16437283158302%,598
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Central Atlanta,13892593,13.95,-169694,-106235,9.16437283158302%,598
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Central Perimeter,912105,19.34,-33514,-1861,9.48180332779884%,35
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Chamblee,8530322,13.34,63362,-4623,7.10177198052406%,374
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Chattahoochee  (Cluster),22369056,13.07,305056,173637,6.66684806346893%,630
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Chattahoochee,22369056,13.07,305056,173637,6.66684806346893%,630
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Dawson County,1646881,13.21,-42046,50955,5.76003976166248%,77
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Doraville,34730838,10.99,-219994,202062,6.27715364098549%,618
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Duluth/Suwanee/Buford,62079423,10.77,1801481,1385391,5.15384785830975%,881
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Fayette/Coweta County,36350539,9.19,342287,369050,8.89220684766769%,706
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Fulton District,55878189,7.17,-983447,382315,9.08906012773514%,643
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - GA-316/Lawrenceville,23067858,10.7,-111211,361028,4.09536510705948%,535
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Haralson County,3088107,7.57,257241,268257,2.01644562184811%,76
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Heard County,418469,11.44,-2650,-131,0.601956155151129%,11
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - I-20 W/Douglasville  (Cluster),81275796,8.73,270298,1560636,8.69936123490334%,1516
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - I-20 W/Douglasville,70466845,8.86,82340,1297470,9.80203673243523%,1245
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - I-20 W/Fulton District  (Cluster),55878189,7.17,-983447,382315,9.08906012773514%,643
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Jasper County,306337,10.49,-2002,-95,0.622517010197043%,12
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Kennesaw/Acworth,65355408,10.35,1998585,1241007,11.1264444887638%,1005
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Lamar County,2043564,9.31,-79446,-1628,14.7026464343071%,33
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Meriwether County,1267904,7.8,-7640,-1523,32.0900470018387%,28
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - N Fulton/Forsyth Cnty,36021847,14.63,93381,783600,7.53157362341881%,1228
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Norcross,33383740,12.01,-802155,-10633,6.79978355765343%,796
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - North Central Atlanta  (Cluster),38580833,14.68,17821,832694,7.50205963850021%,1340
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - North Walton County,2362397,11.29,-151015,-733,6.36188611388206%,64
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northeast Atlanta  (Cluster),174995241,11.06,459224,1927882,5.72561472654343%,3594
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northwest Atlanta  (Cluster),112273007,11.23,1478651,1278647,8.66005197167397%,2941
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Pickens County,2343095,10.3,-49714,9303,4.00559939444065%,179
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Pike County,534571,11.76,-9262,-165,1.70211251825094%,19
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Rockdale/Newton Cnty,36817640,9.46,-5998,758034,9.62399020791054%,822
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - S Barrow,10840663,8.97,-121244,-4610,6.1724454164505%,326
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - S Clayton/Henry Cnty,82709564,7.67,-2632181,3135535,10.9408088028431%,957
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - SE Cobb Cnty/Marietta,32925106,12.86,-229570,-2938,5.23379035294056%,1065
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Snapfinger,18374317,8.9,-644505,-6723,12.7299696207047%,435
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Snapfinger/I-20 East  (Cluster),65427391,9.05,-671251,1767834,10.6415539979935%,1417
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - South Atlanta  (Cluster),267717075,8.5,-5819612,5957753,12.5164523720741%,3452
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - South Walton County,10235434,7.82,-20754,1016523,10.5528108775616%,160
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Stone Mountain  (Cluster),32593435,10.48,-660763,-48810,6.04663193225861%,1022
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Stone Mountain,32593435,10.48,-660763,-48810,6.04663193225861%,1022
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - W Carroll County,7302375,7.97,-66633,-4960,1.34887620806694%,184
Industrial,2025 Q3,All,2025 Q2,Atlanta - GA USA - Woodstock/Canton,11649398,11.97,-240650,31275,5.44304512441158%,692
Industrial,2025 Q3,All,2025 Q2,Atlantic City - NJ USA - Atlantic City/Hammonton  (Cluster),9792697,10.97,-151248,-5084,5.3728099912405%,462
Industrial,2025 Q3,All,2025 Q2,Atlantic City - NJ USA - Atlantic City/Hammonton,9792697,10.97,-151248,-5084,5.3728099912405%,462
Industrial,2025 Q3,All,2025 Q2,Auburn-Opelika - AL USA - Lee County (Cluster),12484705,7.55,-972151,101071,15.5460938811302%,215
Industrial,2025 Q3,All,2025 Q2,Auburn-Opelika - AL USA - Lee County,12484705,7.55,-972151,101071,15.5460938811302%,215
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Burke County (Cluster),2176634,4.97,-118717,-494,15.5525460839272%,24
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Burke County,2176634,4.97,-118717,-494,15.5525460839272%,24
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Downtown Augusta (Cluster),1743644,7.56,-3147,-363,4.06722947955132%,134
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Downtown Augusta,1743644,7.56,-3147,-363,4.06722947955132%,134
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Edgefield County (Cluster),2850866,5.13,63594,-645,4.99034337699413%,42
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Edgefield County,2850866,5.13,63594,-645,4.99034337699413%,42
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Evans/Martinez (Cluster),2410630,9.88,28161,-463,1.84922609478235%,206
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Evans/Martinez,2410630,9.88,28161,-463,1.84922609478235%,206
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - McDuffie County (Cluster),2095486,5.47,65176,-465,5.96439205110073%,42
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - McDuffie County,2095486,5.47,65176,-465,5.96439205110073%,42
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - North Augusta (Cluster),1037488,8.48,-13487,-214,2.18691676855087%,55
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - North Augusta,1037488,8.48,-13487,-214,2.18691676855087%,55
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - North Richmond County (Cluster),1232293,11.4,-93752,-248,8.67050290107727%,96
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - North Richmond County,1232293,11.4,-93752,-248,8.67050290107727%,96
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Outlying Aiken County (Cluster),17865634,5.96,755906,337580,2.38920152187347%,233
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Outlying Aiken County,17865634,5.96,755906,337580,2.38920152187347%,233
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Outlying Columbia County (Cluster),6641978,7.44,-61002,-1482,6.18339888751507%,125
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - Outlying Columbia County,6641978,7.44,-61002,-1482,6.18339888751507%,125
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - South Richmond County (Cluster),15676033,6.72,166998,-4666,6.08535334467888%,440
Industrial,2025 Q3,All,2025 Q2,Augusta - GA USA - South Richmond County,15676033,6.72,166998,-4666,6.08535334467888%,440
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Bastrop County  (Cluster),2554215,11.38,-46532,4422,5.08657246828079%,143
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Bastrop County,2554215,11.38,-46532,4422,5.08657246828079%,143
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Caldwell County  (Cluster),1771737,12.3,312687,364407,13.7024283409119%,100
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Caldwell County,1771737,12.3,312687,364407,13.7024283409119%,100
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - CBD  (Cluster),65914,26.65,-214,-26,0.285220146179199%,7
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - CBD,65914,26.65,-214,-26,0.285220146179199%,7
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Cedar Park  (Cluster),3718261,17.14,283566,100802,5.79042173922062%,225
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Cedar Park,3718261,17.14,283566,100802,5.79042173922062%,225
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Central  (Cluster),2181376,17.39,37371,-221,5.57799302041531%,143
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Central,2181376,17.39,37371,-221,5.57799302041531%,143
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - East  (Cluster),20125390,15.67,481333,3220352,15.452316403389%,403
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - East,20125390,15.67,481333,3220352,15.452316403389%,403
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Far Northeast  (Cluster),16694945,12.34,651508,1662165,13.2178634405136%,406
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Far Northeast,16694945,12.34,651508,1662165,13.2178634405136%,406
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Far Northwest  (Cluster),1817051,17.59,-80071,-19047,7.38366693258286%,141
Industrial,2025 Q3,All,2025 Q2,Austin - TX USA - Far Northwest,1817051,17.59,-80071,-19047,7.38366693258286%,141
